from_city,to_city,distance_km,flights_per_day,flight_time_hr
City_05570,City_03445,1359.9,1,1.86
City_05570,City_07077,1325.3,3,1.87
City_05570,City_02692,782.2,3,1.02
City_01688,City_02445,1450.4,5,2.19
City_01688,City_09098,3275.7,4,4.29
City_01688,City_00330,3512.9,6,4.53
City_01688,City_08885,2194.0,3,2.97
City_01688,City_01161,1332.9,1,1.74
City_01688,City_00089,3092.3,6,4.7
City_01688,City_02163,3318.7,3,5.03
City_01688,City_05783,1848.3,3,2.47
City_01498,City_09494,2700.8,1,3.57
City_01498,City_09896,2533.3,3,3.6
City_01498,City_04542,2059.3,4,3.09
City_01498,City_08880,1607.3,1,2.23
City_01498,City_04877,1227.7,2,1.72
City_01498,City_02005,2639.0,5,3.86
City_01498,City_03018,492.7,3,0.67
City_01498,City_05528,1905.1,5,2.54
City_07480,City_03117,2163.7,6,2.84
City_07480,City_06609,2979.3,2,4.26
City_07480,City_04299,1534.6,3,2.31
City_07480,City_01930,2589.9,4,3.41
City_07480,City_07515,483.1,5,0.68
City_07480,City_07496,1283.6,1,1.8
City_07480,City_07461,3176.2,4,4.33
City_07480,City_07414,2673.0,6,3.88
City_08579,City_06742,1987.3,1,2.92
City_08579,City_07037,1149.9,6,1.49
City_08579,City_06820,508.1,1,0.73
City_08579,City_00220,795.4,5,1.08
City_08579,City_08376,738.5,6,1.08
City_08579,City_03551,556.6,3,0.75
City_08579,City_04626,2010.2,5,2.73
City_08579,City_07156,1241.8,5,1.9
City_02728,City_02507,968.5,6,1.45
City_02728,City_09839,2198.6,4,3.29
City_02728,City_09640,1369.2,5,1.94
City_02728,City_09376,1597.0,5,2.39
City_02728,City_01704,909.6,3,1.22
City_02728,City_03304,2268.6,3,2.91
City_02728,City_01216,587.0,4,0.86
City_02728,City_01718,1032.9,5,1.53
City_05957,City_06484,480.1,5,0.68
City_05957,City_06655,569.1,5,0.85
City_05957,City_06943,874.9,4,1.19
City_05957,City_05970,868.8,5,1.13
City_05957,City_01155,2179.9,1,3.22
City_05957,City_05455,2632.3,3,3.94
City_05957,City_00711,279.7,2,0.42
City_05957,City_00476,1258.1,2,1.91
City_00619,City_01119,1621.1,1,2.28
City_00619,City_08226,2360.0,3,3.45
City_00619,City_04904,579.1,4,0.87
City_00619,City_02503,554.4,1,0.73
City_00619,City_05976,2029.5,1,2.7
City_00619,City_05266,1311.2,3,1.93
City_00619,City_04266,1834.2,1,2.74
City_00619,City_07540,2366.1,3,3.62
City_00302,City_03643,1564.6,5,2.39
City_00302,City_04610,1947.3,2,2.59
City_00302,City_07879,352.7,4,0.52
City_00302,City_08003,1255.5,3,1.75
City_00302,City_08197,584.4,5,0.76
City_00302,City_06987,1442.6,3,1.89
City_00302,City_03116,2218.0,1,3.26
City_00302,City_06976,388.8,5,0.57
City_05804,City_02507,1615.5,1,2.37
City_05804,City_04253,900.0,4,1.36
City_05804,City_00370,707.3,6,1.04
City_05804,City_08522,1707.8,5,2.32
City_05804,City_08185,1352.6,1,1.89
City_05804,City_00219,2441.2,4,3.27
City_05804,City_08512,376.1,4,0.57
City_05804,City_09866,752.7,1,1.12
City_05661,City_00601,806.9,4,1.13
City_05661,City_07399,1908.4,6,2.68
City_05661,City_06027,1412.0,4,1.94
City_05661,City_03243,1166.6,1,1.7
City_05661,City_06873,871.1,2,1.14
City_05661,City_08072,1794.1,2,2.62
City_05661,City_07368,1577.3,5,2.31
City_05661,City_00525,1386.2,3,2.02
City_06604,City_07538,825.4,4,1.15
City_06604,City_07099,1864.4,6,2.43
City_06604,City_05058,1809.2,6,2.33
City_06604,City_09648,1274.2,1,1.86
City_06604,City_03341,2067.6,1,3.13
City_06604,City_05776,895.7,5,1.37
City_06604,City_02482,1330.8,4,1.82
City_06604,City_01641,1864.3,5,2.6
City_02446,City_05779,1999.1,6,2.64
City_02446,City_03780,1761.3,6,2.5
City_02446,City_08812,1168.2,5,1.67
City_02446,City_06443,1565.1,3,2.09
City_02446,City_09047,959.5,5,1.26
City_02446,City_00038,872.4,6,1.22
City_02446,City_00619,1479.3,3,2.24
City_02446,City_01307,2171.5,2,2.98
City_06490,City_01817,1251.6,1,1.89
City_06490,City_09839,1893.4,1,2.79
City_06490,City_00011,2023.9,1,3.1
City_06490,City_04904,1339.0,6,2.05
City_06490,City_05786,1779.2,2,2.29
City_06490,City_08183,1551.1,3,2.18
City_06490,City_03551,1058.0,4,1.43
City_06490,City_01587,673.6,2,0.92
City_06206,City_05500,1267.7,3,1.81
City_06206,City_06391,375.1,2,0.5
City_06206,City_00479,444.1,5,0.59
City_06206,City_00582,2159.0,5,3.16
City_06206,City_01155,1348.1,5,1.96
City_06206,City_05870,1090.8,5,1.54
City_06206,City_02163,1475.6,5,1.94
City_06206,City_01494,1681.7,3,2.58
City_00743,City_07029,439.0,5,0.58
City_00743,City_05451,2250.8,6,3.23
City_00743,City_09088,1115.3,1,1.63
City_00743,City_04014,3107.7,5,4.26
City_00743,City_00375,370.1,4,0.49
City_00743,City_05722,1093.0,3,1.62
City_00743,City_04186,890.7,4,1.17
City_00743,City_01830,2193.0,6,2.91
City_04880,City_00014,799.6,4,1.08
City_04880,City_05455,2721.6,4,3.6
City_04880,City_02169,2513.9,6,3.45
City_04880,City_07309,1501.0,1,2.12
City_04880,City_07949,1127.7,1,1.67
City_04880,City_06235,2510.0,4,3.23
City_04880,City_09569,3263.3,4,4.35
City_04880,City_03641,2553.8,3,3.42
City_00670,City_03796,2267.1,1,2.93
City_00670,City_02796,2594.8,1,3.66
City_00670,City_09839,2250.3,2,3.0
City_00670,City_04043,1351.2,3,1.8
City_00670,City_07194,1804.8,2,2.61
City_00670,City_00149,315.8,6,0.41
City_00670,City_07825,1432.3,4,2.01
City_00670,City_02027,582.6,1,0.88
City_04562,City_02554,1905.8,2,2.58
City_04562,City_02692,1380.7,4,1.99
City_04562,City_00038,1375.1,4,1.97
City_04562,City_03418,821.2,4,1.11
City_04562,City_05130,2289.4,6,3.31
City_04562,City_04583,635.1,6,0.93
City_04562,City_08696,1287.1,4,1.74
City_04562,City_01933,1278.4,2,1.66
City_07515,City_02796,2533.0,6,3.41
City_07515,City_04739,1570.5,3,2.33
City_07515,City_09607,1027.6,2,1.55
City_07515,City_03978,1757.9,4,2.49
City_07515,City_07436,640.9,3,0.86
City_07515,City_05647,2055.5,5,2.7
City_07515,City_06498,1231.0,4,1.86
City_07515,City_00293,411.4,1,0.59
City_03303,City_01494,686.7,3,0.97
City_03303,City_07250,1650.4,1,2.52
City_03303,City_02126,2638.7,2,3.85
City_03303,City_08725,731.6,2,0.95
City_03303,City_02841,803.7,3,1.09
City_03303,City_00376,556.7,6,0.8
City_03303,City_02520,1077.4,5,1.41
City_06082,City_02657,1597.0,3,2.42
City_06082,City_02626,357.7,6,0.49
City_06082,City_07029,413.5,4,0.62
City_06082,City_08987,1446.2,6,1.92
City_06082,City_07380,834.1,6,1.21
City_06082,City_06002,693.4,5,0.98
City_06082,City_05347,1295.6,4,1.74
City_06082,City_03325,1189.1,1,1.55
City_07951,City_07912,854.1,4,1.16
City_07951,City_08184,2106.1,5,3.03
City_07951,City_05175,1419.0,1,2.07
City_07951,City_08402,1692.2,6,2.28
City_07951,City_05734,329.8,6,0.44
City_07951,City_01475,2090.8,1,3.1
City_07951,City_00054,963.8,4,1.27
City_07951,City_08880,1606.8,4,2.26
City_04142,City_09953,622.2,4,0.95
City_04142,City_04904,1043.6,1,1.47
City_04142,City_01491,1385.5,2,1.82
City_04142,City_01517,2152.7,3,3.14
City_04142,City_08458,933.6,5,1.2
City_04142,City_09051,2174.8,6,3.23
City_04142,City_01941,2318.8,4,3.39
City_04142,City_01694,1971.6,5,2.71
City_04542,City_02866,2296.9,6,3.16
City_04542,City_04043,2810.7,3,4.26
City_04542,City_07148,1697.8,3,2.42
City_04542,City_02947,1069.0,6,1.39
City_04542,City_08866,1879.9,6,2.45
City_04542,City_04626,1933.6,3,2.65
City_04542,City_05213,1529.8,6,2.17
City_04542,City_03988,3269.8,5,4.85
City_08395,City_03279,1091.2,2,1.66
City_08395,City_02748,692.3,2,0.91
City_08395,City_06987,1657.8,6,2.22
City_08395,City_05451,307.8,3,0.41
City_08395,City_08960,1735.2,3,2.48
City_08395,City_02003,1183.3,2,1.7
City_08395,City_01412,2179.2,6,3.01
City_08395,City_03330,2431.9,4,3.23
City_07206,City_07321,2362.4,2,3.47
City_07206,City_01931,2377.2,1,3.32
City_07206,City_05618,2922.5,3,3.98
City_07206,City_00311,2561.2,6,3.56
City_07206,City_00395,2921.3,1,3.81
City_07206,City_03891,2061.2,1,2.79
City_07206,City_01756,2307.9,6,3.54
City_07206,City_06129,1517.5,5,2.18
City_06609,City_00343,2334.4,5,3.28
City_06609,City_05976,633.2,2,0.87
City_06609,City_06106,1899.6,1,2.55
City_06609,City_00891,1711.0,2,2.29
City_06609,City_06862,2216.6,1,3.1
City_06609,City_07655,1288.9,6,1.77
City_06609,City_06873,2432.5,3,3.7
City_06609,City_04179,3080.5,5,4.37
City_04863,City_00221,671.1,4,0.96
City_04863,City_08764,1125.3,2,1.63
City_04863,City_03403,1391.7,3,1.79
City_04863,City_01591,820.8,5,1.22
City_04863,City_06862,1898.6,4,2.74
City_04863,City_03451,1829.1,3,2.47
City_04863,City_01209,2856.9,2,3.71
City_04863,City_07496,1478.5,4,1.91
City_09408,City_02164,2996.6,1,4.35
City_09408,City_06687,2711.7,1,3.83
City_09408,City_04545,3360.5,4,4.59
City_09408,City_05942,2619.2,3,3.69
City_09408,City_06281,1765.5,5,2.43
City_09408,City_05962,2108.1,6,3.0
City_09408,City_00476,1342.8,3,1.89
City_09408,City_05945,886.9,2,1.14
City_01155,City_03063,2140.0,4,2.78
City_01155,City_00700,2057.6,1,2.77
City_01155,City_00434,1994.2,4,2.84
City_01155,City_05659,1613.6,3,2.26
City_01155,City_03382,824.6,2,1.09
City_01155,City_03868,2216.6,5,3.0
City_01155,City_06715,2028.8,3,2.77
City_06375,City_09569,2758.2,1,4.04
City_06375,City_05107,2156.6,5,2.93
City_06375,City_03382,2543.2,4,3.86
City_06375,City_08225,919.9,1,1.3
City_06375,City_03149,2770.6,3,3.68
City_06375,City_04690,2926.5,6,3.94
City_06375,City_07029,1304.9,6,1.72
City_06375,City_05504,2369.6,5,3.56
City_06002,City_03403,1229.9,6,1.75
City_06002,City_08334,1506.8,2,2.02
City_06002,City_04658,1131.1,4,1.71
City_06002,City_02003,775.0,5,1.02
City_06002,City_08043,562.8,2,0.82
City_06002,City_00765,1943.5,1,2.51
City_06002,City_08559,692.8,1,0.93
City_07743,City_09108,1130.7,1,1.69
City_07743,City_01728,3515.2,5,4.84
City_07743,City_01498,1777.9,3,2.55
City_07743,City_04880,2475.4,3,3.28
City_07743,City_03063,2149.3,1,2.85
City_07743,City_07455,2016.3,2,2.87
City_07743,City_01226,2017.5,6,2.97
City_07743,City_05226,622.8,6,0.93
City_01062,City_05342,1906.9,5,2.82
City_01062,City_00540,1099.9,1,1.61
City_01062,City_07938,1034.2,2,1.56
City_01062,City_06674,1420.3,4,2.08
City_01062,City_07895,1954.5,6,2.51
City_01062,City_06375,914.5,4,1.21
City_01062,City_02270,1188.7,2,1.59
City_01062,City_07780,852.5,4,1.12
City_09364,City_04142,1913.6,3,2.92
City_09364,City_07743,1947.2,2,2.98
City_09364,City_02754,440.3,5,0.63
City_09364,City_02258,689.2,2,1.05
City_09364,City_08871,2179.4,4,2.95
City_09364,City_09459,1121.8,5,1.6
City_09364,City_01491,1643.6,5,2.26
City_09364,City_06238,1983.4,4,2.99
City_06281,City_05618,1823.5,3,2.67
City_06281,City_02156,1712.3,4,2.43
City_06281,City_05999,1998.9,6,2.73
City_06281,City_09459,1781.2,1,2.39
City_06281,City_02711,1063.8,1,1.37
City_06281,City_02748,651.2,5,0.93
City_06281,City_06025,1268.3,5,1.95
City_06281,City_05103,482.3,1,0.74
City_05662,City_09973,1616.1,1,2.15
City_05662,City_06301,1344.6,2,1.99
City_05662,City_00946,1480.3,2,2.15
City_05662,City_03052,1020.5,5,1.57
City_05662,City_06018,2195.7,3,3.08
City_05662,City_08697,2338.0,1,3.55
City_05662,City_01533,1760.3,5,2.4
City_05662,City_07273,763.6,1,1.05
City_06284,City_03887,723.1,6,1.07
City_06284,City_07962,808.0,5,1.04
City_06284,City_01161,2571.4,1,3.33
City_06284,City_03338,2675.4,6,3.85
City_06284,City_01226,2302.6,1,3.33
City_06284,City_02261,2734.4,4,4.07
City_06284,City_00074,3100.3,5,4.21
City_06284,City_09923,722.5,5,1.03
City_06480,City_03855,1664.9,5,2.33
City_06480,City_05970,2949.8,2,4.05
City_06480,City_04486,2516.8,5,3.25
City_06480,City_07768,2280.6,3,2.94
City_06480,City_02660,3088.2,4,4.38
City_06480,City_04931,2253.2,6,2.91
City_06480,City_02435,1614.1,5,2.36
City_01679,City_05266,985.5,3,1.37
City_01679,City_07961,2087.5,2,3.15
City_01679,City_06302,1118.4,3,1.47
City_01679,City_03244,2045.1,1,3.0
City_01679,City_08238,1747.8,4,2.33
City_01679,City_08288,2541.8,5,3.86
City_01679,City_06490,1569.0,2,2.13
City_01679,City_09486,481.5,3,0.67
City_07845,City_08072,1697.9,1,2.49
City_07845,City_04265,2198.3,5,2.88
City_07845,City_03568,2505.9,6,3.76
City_07845,City_08516,926.5,6,1.36
City_07845,City_02779,1182.5,2,1.57
City_07845,City_04402,1571.9,6,2.19
City_07845,City_00670,479.9,2,0.63
City_07845,City_02156,2307.0,4,3.33
City_06498,City_02699,1295.1,6,1.68
City_06498,City_06481,1707.0,6,2.48
City_06498,City_00370,1135.1,2,1.5
City_06498,City_03940,1281.2,1,1.7
City_06498,City_03868,1320.6,6,1.85
City_06498,City_07980,2174.2,6,3.22
City_06498,City_05528,1285.0,6,1.97
City_06498,City_06238,964.0,6,1.38
City_01200,City_01301,1351.3,4,1.9
City_01200,City_01161,2008.6,4,2.83
City_01200,City_04337,1378.0,2,1.9
City_01200,City_04253,1709.3,1,2.41
City_01200,City_05666,2214.7,1,3.39
City_01200,City_03018,2212.6,6,3.24
City_01200,City_02626,1220.2,6,1.6
City_01200,City_07339,993.7,1,1.34
City_00540,City_03210,1656.8,2,2.32
City_00540,City_03551,868.0,6,1.27
City_00540,City_08204,975.4,6,1.34
City_00540,City_01562,901.3,2,1.36
City_00540,City_00072,1314.9,6,1.76
City_00540,City_04474,1905.1,4,2.88
City_00540,City_05264,1593.0,6,2.4
City_00540,City_05504,2121.4,4,2.85
City_02184,City_01984,1438.0,6,2.0
City_02184,City_06136,396.9,2,0.58
City_02184,City_04102,2222.1,3,3.08
City_02184,City_09098,815.2,3,1.08
City_02184,City_09519,1494.5,4,2.18
City_02184,City_04036,421.4,4,0.61
City_02184,City_03218,1311.7,2,1.8
City_02184,City_00691,620.0,4,0.85
City_05835,City_08515,1682.7,3,2.31
City_05835,City_02027,3503.8,3,5.27
City_05835,City_08691,2317.1,1,3.31
City_05835,City_00259,1813.4,2,2.73
City_05835,City_01155,2177.2,3,2.93
City_05835,City_00564,2699.2,5,3.82
City_05835,City_07108,3265.0,1,4.24
City_05835,City_00582,3212.4,5,4.64
City_03232,City_06088,2076.7,1,3.03
City_03232,City_07764,916.7,2,1.34
City_03232,City_06129,1458.0,1,1.96
City_03232,City_03157,665.5,1,0.89
City_03232,City_01551,1134.9,6,1.46
City_03232,City_09830,1091.0,4,1.42
City_03232,City_09323,1520.8,1,2.0
City_03232,City_04387,1838.8,5,2.44
City_03641,City_04386,1531.3,2,2.01
City_03641,City_08139,1582.4,4,2.24
City_03641,City_02725,1930.9,2,2.6
City_03641,City_03769,769.5,5,1.1
City_03641,City_08334,2433.8,1,3.44
City_03641,City_05347,2636.4,3,3.54
City_03641,City_00375,1275.7,3,1.94
City_03641,City_06746,1839.3,6,2.68
City_03626,City_04058,452.2,2,0.64
City_03626,City_08736,1313.9,6,1.92
City_03626,City_02447,1049.5,3,1.41
City_03626,City_00031,539.0,4,0.74
City_03626,City_05647,1802.5,2,2.63
City_03626,City_08696,1915.2,4,2.73
City_03626,City_01596,1116.0,6,1.63
City_03626,City_09404,1430.6,3,2.18
City_03961,City_05115,1561.1,5,2.16
City_03961,City_07943,1620.5,1,2.17
City_03961,City_01023,1365.0,5,2.01
City_03961,City_05572,1596.6,1,2.19
City_03961,City_08216,352.1,4,0.46
City_03961,City_04371,349.9,2,0.51
City_03961,City_05004,3041.2,3,4.53
City_03961,City_00101,1681.5,6,2.46
City_08755,City_02937,2517.7,5,3.39
City_08755,City_09152,1190.2,4,1.62
City_08755,City_01062,1902.6,5,2.58
City_08755,City_08029,1674.5,4,2.46
City_08755,City_00472,941.5,3,1.41
City_08755,City_05362,838.1,1,1.17
City_08755,City_01676,1375.6,1,1.96
City_08755,City_07260,1735.9,4,2.59
City_08458,City_05575,1878.4,2,2.73
City_08458,City_00988,3106.7,5,4.73
City_08458,City_08751,2419.3,5,3.64
City_08458,City_09364,1243.3,5,1.69
City_08458,City_09475,3120.3,6,4.63
City_08458,City_07156,2712.6,3,3.52
City_08458,City_08395,919.3,6,1.24
City_08458,City_04587,2609.0,6,3.37
City_03513,City_05647,975.6,6,1.47
City_03513,City_00311,966.3,1,1.4
City_03513,City_03418,1557.6,3,2.02
City_03513,City_06298,1628.3,5,2.12
City_03513,City_02003,576.2,5,0.79
City_03513,City_00643,1637.2,3,2.29
City_03513,City_01626,499.1,2,0.69
City_03513,City_05804,1610.3,5,2.15
City_05594,City_09448,1053.4,2,1.41
City_05594,City_08590,1900.9,4,2.91
City_05594,City_08430,2813.0,1,3.92
City_05594,City_03134,1450.6,6,2.22
City_05594,City_09019,2504.4,5,3.32
City_05594,City_08308,2072.3,3,3.1
City_05594,City_08288,942.0,5,1.22
City_05594,City_02369,515.5,1,0.7
City_05962,City_03940,338.8,2,0.44
City_05962,City_04033,2877.2,5,4.41
City_05962,City_09184,1078.6,6,1.45
City_05962,City_03122,1315.8,4,1.98
City_05962,City_03338,1047.5,4,1.4
City_05962,City_03269,3103.9,2,4.3
City_05962,City_06447,2391.3,3,3.28
City_05962,City_02408,1546.6,3,2.01
City_05492,City_01419,1081.1,2,1.46
City_05492,City_02657,2788.9,3,4.09
City_05492,City_05302,2346.5,5,3.41
City_05492,City_08395,340.5,4,0.46
City_05492,City_05181,1601.1,2,2.15
City_05492,City_06602,2889.0,4,4.07
