from_city,to_city,distance_km,trains_per_day,travel_time_hr
City_04613,City_05895,1316.7,6,21.1
City_04613,City_05215,1898.5,2,38.6
City_04613,City_04505,1337.9,9,22.2
City_06715,City_06679,1389.9,6,21.5
City_06715,City_01970,467.7,4,9.7
City_06715,City_03879,981.7,4,18.0
City_06715,City_00289,1645.8,1,29.9
City_03744,City_06359,429.0,4,7.5
City_03744,City_01067,1657.0,4,35.0
City_03744,City_04603,1565.9,6,24.9
City_03744,City_04778,2471.3,6,51.5
City_03744,City_09258,1194.8,4,24.9
City_03744,City_01075,906.0,4,18.1
City_03744,City_05304,2012.1,3,42.9
City_03744,City_08816,2076.8,4,36.8
City_03744,City_07114,663.8,8,10.9
City_00692,City_05423,733.9,7,14.2
City_00692,City_00655,196.4,7,4.1
City_00692,City_03704,1488.4,1,27.2
City_00692,City_06997,398.8,4,7.6
City_00692,City_04032,653.6,1,12.2
City_00692,City_08519,1914.1,5,30.8
City_00692,City_08576,974.2,6,16.1
City_00692,City_05357,2442.4,9,53.2
City_03455,City_06648,1587.7,5,26.2
City_03455,City_05162,1313.6,3,22.9
City_03455,City_08110,2261.8,5,49.3
City_03455,City_08454,1482.1,9,30.8
City_03455,City_00333,1163.3,7,23.9
City_03455,City_00814,802.8,6,14.5
City_03455,City_05587,1043.1,3,18.5
City_03455,City_02579,1082.7,8,23.8
City_03455,City_06172,844.0,7,13.5
City_03455,City_07431,2398.3,3,41.6
City_04138,City_02336,1017.0,6,16.3
City_04138,City_03604,1377.1,8,23.2
City_04138,City_05642,1680.3,7,37.0
City_04138,City_00605,1592.5,1,30.4
City_04138,City_03219,2348.1,9,49.3
City_04138,City_03771,1505.0,3,28.2
City_04138,City_01022,640.8,4,10.1
City_04138,City_01705,1134.1,2,17.6
City_04138,City_07962,279.7,8,5.3
City_04138,City_01064,1428.5,1,30.9
City_04138,City_05833,884.2,6,18.1
City_06471,City_02175,517.4,3,9.0
City_06471,City_03613,2035.1,8,33.9
City_06471,City_06356,730.8,4,11.8
City_06471,City_02616,1012.4,2,16.4
City_06471,City_05504,1827.9,5,28.7
City_06471,City_07339,2100.1,8,38.5
City_06471,City_09945,1463.1,6,24.3
City_06471,City_01968,1919.7,9,34.8
City_06471,City_08552,1883.2,7,38.3
City_06471,City_09406,832.6,8,17.8
City_06471,City_04791,1509.0,8,23.3
City_06471,City_05259,2031.4,10,36.4
City_06071,City_00679,1869.6,1,33.7
City_06071,City_07191,743.9,6,14.9
City_06071,City_01782,2212.4,3,39.7
City_06071,City_06737,1862.3,10,33.2
City_06071,City_05421,1663.0,2,27.3
City_06071,City_07697,1229.1,3,21.2
City_06071,City_07016,2103.1,4,32.5
City_06071,City_06467,2318.8,10,43.9
City_06071,City_06606,2442.5,6,45.2
City_04122,City_08660,1511.6,6,24.4
City_04122,City_00696,2443.1,8,40.2
City_04122,City_04270,1565.3,7,31.1
City_04122,City_01773,1792.6,5,34.7
City_04122,City_06607,2076.8,3,36.1
City_04122,City_02836,624.1,7,13.0
City_04122,City_01257,2017.8,3,42.0
City_04122,City_07963,2088.4,9,32.5
City_04122,City_05520,2006.6,4,33.1
City_04122,City_01686,2327.9,7,37.8
City_04122,City_01018,1046.5,5,17.2
City_07031,City_05838,2100.3,3,37.0
City_07031,City_00953,1921.5,7,40.5
City_07031,City_06131,1934.0,9,41.9
City_07031,City_09938,2458.8,2,43.8
City_07031,City_06029,1919.8,7,41.8
City_07031,City_02846,1477.6,7,26.2
City_07031,City_01652,2436.8,4,42.7
City_07031,City_08110,39.4,5,0.8
City_07031,City_07896,1690.8,1,26.4
City_07031,City_08200,2015.0,9,41.1
City_07031,City_02142,2240.8,3,39.1
City_07031,City_01594,1717.1,2,32.6
City_01239,City_03917,1326.8,10,24.0
City_01239,City_09214,1856.1,7,41.0
City_01239,City_09996,541.9,3,9.9
City_01239,City_01887,1055.4,6,17.9
City_01239,City_04732,2349.1,2,39.1
City_01239,City_04900,1713.9,4,32.1
City_01239,City_07458,2403.8,4,41.7
City_01239,City_06064,1598.4,6,30.4
City_01239,City_01807,1017.8,6,17.5
City_01239,City_08257,1469.4,7,23.2
City_01239,City_05520,1153.5,6,20.1
City_05072,City_06174,391.2,10,7.4
City_05072,City_07168,2318.8,5,49.9
City_05072,City_03962,754.4,4,14.7
City_05072,City_02630,1729.6,9,31.1
City_05072,City_01685,2191.1,10,38.7
City_05072,City_06277,641.6,1,11.0
City_05072,City_02472,2409.2,9,38.4
City_05072,City_03638,1100.7,9,17.3
City_05072,City_07361,606.1,1,10.9
City_00412,City_03102,2108.3,2,33.6
City_00412,City_03627,1621.1,1,29.9
City_00412,City_06836,1105.4,5,19.4
City_00412,City_09500,1740.3,3,27.5
City_00412,City_09637,1467.8,4,24.8
City_00412,City_01974,1501.4,1,30.1
City_00412,City_06187,1597.3,7,28.9
City_00412,City_09696,1668.9,9,28.8
City_00412,City_00521,1721.5,9,29.6
City_00412,City_05970,220.7,5,4.4
City_09481,City_09393,792.5,5,16.1
City_09481,City_05691,1302.0,8,27.3
City_09481,City_03661,723.3,2,11.7
City_09481,City_02713,838.1,3,15.6
City_09481,City_06938,771.6,8,11.9
City_09481,City_01719,1079.9,7,21.9
City_09481,City_08158,499.0,9,8.2
City_09481,City_06426,2234.0,4,36.9
City_09481,City_05390,885.0,2,14.9
City_09481,City_08144,560.3,2,9.5
City_09481,City_09691,284.4,9,6.2
City_09481,City_01350,1347.1,5,27.1
City_03982,City_01633,2214.8,5,37.6
City_03982,City_04834,709.2,1,11.7
City_03982,City_00952,980.1,8,17.4
City_03982,City_09620,1642.8,8,31.8
City_03982,City_06584,2484.6,7,45.0
City_03982,City_09714,1553.3,5,32.0
City_03982,City_00839,1358.2,9,28.6
City_03982,City_02128,1220.0,1,26.3
City_01516,City_06526,1787.8,9,28.9
City_01516,City_02547,2066.7,8,40.9
City_01516,City_00603,2337.0,3,41.0
City_01516,City_09634,362.6,4,7.7
City_01516,City_00878,943.1,3,14.7
City_01516,City_00668,1783.3,6,31.1
City_01516,City_08879,744.1,8,14.5
City_01516,City_01636,777.5,1,15.8
City_01516,City_06083,1322.9,3,22.5
City_01516,City_05956,654.1,2,13.7
City_01516,City_03962,1036.9,8,18.7
City_04405,City_05981,463.4,8,7.6
City_04405,City_03291,2062.8,1,40.3
City_04405,City_08016,477.0,4,7.6
City_04405,City_07331,510.6,8,8.2
City_04405,City_09500,2091.2,9,37.4
City_04405,City_00383,1381.6,2,22.1
City_04405,City_01951,1836.5,9,35.8
City_04405,City_01220,1541.9,3,33.9
City_04405,City_08637,1192.7,4,26.2
City_09727,City_04095,2269.5,5,48.0
City_09727,City_02336,1953.3,6,41.0
City_09727,City_02436,1721.3,8,35.6
City_09727,City_08158,426.5,7,9.1
City_09727,City_02033,1983.2,10,42.1
City_09727,City_05079,2480.2,10,47.8
City_09727,City_09466,1720.7,2,27.0
City_09727,City_08811,1312.8,1,20.4
City_09727,City_02144,595.5,2,11.0
City_09727,City_05125,1491.5,3,24.8
City_09727,City_06167,2442.9,2,49.3
City_06146,City_07339,1784.9,3,37.1
City_06146,City_01652,2075.7,9,35.8
City_06146,City_02579,1057.5,2,21.4
City_06146,City_08250,2211.9,8,34.5
City_06146,City_04944,1077.6,3,23.6
City_06146,City_00988,1042.0,10,17.9
City_06146,City_02924,1474.1,9,23.5
City_06146,City_03651,1147.4,2,18.6
City_06146,City_09689,1819.5,5,40.3
City_06146,City_09457,1913.3,5,36.3
City_06146,City_05414,511.6,7,11.0
City_06146,City_04575,723.9,4,11.8
City_00365,City_09080,978.0,1,15.4
City_00365,City_07522,1119.0,8,23.4
City_00365,City_06732,727.1,8,15.1
City_00365,City_02551,191.8,5,3.7
City_00365,City_05258,2048.3,10,31.9
City_00365,City_04956,679.7,1,12.7
City_00365,City_01243,1281.1,4,21.8
City_00365,City_06593,970.7,6,19.6
City_00365,City_03064,1991.1,4,38.1
City_00365,City_08616,2289.8,2,35.7
City_00365,City_05175,1644.7,3,30.8
City_00365,City_04900,2276.0,6,35.3
City_05472,City_07775,2009.0,1,39.2
City_05472,City_02847,712.9,10,14.1
City_05472,City_01277,930.0,2,17.0
City_05472,City_09917,1308.8,1,20.9
City_05472,City_02328,1521.5,6,26.1
City_05472,City_01848,1822.5,6,38.8
City_08633,City_00756,480.6,4,8.3
City_08633,City_08454,680.8,1,12.0
City_08633,City_06697,2496.9,8,50.9
City_08633,City_07555,1785.1,10,28.9
City_08633,City_00971,1952.1,3,38.4
City_08633,City_01164,1598.7,1,29.3
City_08633,City_07899,1878.8,2,32.5
City_00679,City_07532,622.2,4,12.0
City_00679,City_07102,1780.6,7,33.4
City_00679,City_02664,915.3,4,18.4
City_00679,City_05018,2013.1,1,40.7
City_00679,City_00641,598.6,7,12.1
City_00679,City_04305,1174.8,9,18.3
City_00679,City_05520,1287.7,6,23.6
City_00679,City_07945,1043.7,4,21.1
City_00679,City_00749,693.7,2,12.2
City_00679,City_04280,772.9,9,17.0
City_00679,City_04786,1403.7,1,30.8
City_00679,City_05202,1616.6,9,31.7
City_03087,City_00836,298.5,7,6.2
City_03087,City_03455,830.5,7,15.2
City_03087,City_01569,2094.9,1,44.7
City_03087,City_04834,255.4,5,4.8
City_03087,City_08478,2477.1,4,42.7
City_03087,City_01988,1826.6,5,34.6
City_03087,City_07509,85.8,1,1.3
City_03087,City_01416,2139.0,1,43.2
City_03087,City_01824,1874.7,5,31.1
City_03087,City_07539,1110.2,6,17.8
City_03087,City_03925,2433.0,6,44.1
City_01559,City_01458,1975.3,5,37.4
City_01559,City_05548,355.3,5,6.1
City_01559,City_06011,1751.0,1,37.3
City_01559,City_06785,1748.7,2,29.0
City_01559,City_01782,1636.9,10,36.0
City_01559,City_06398,227.8,4,4.7
City_01559,City_05249,165.4,2,3.2
City_01559,City_08707,2363.1,6,50.2
City_01559,City_07565,350.3,9,6.3
City_01559,City_07372,638.1,10,14.1
City_01559,City_00082,1448.3,1,23.4
City_03706,City_04806,1444.5,2,23.3
City_03706,City_08263,2485.2,6,54.4
City_03706,City_09965,789.3,6,16.7
City_03706,City_00433,450.7,10,7.1
City_03706,City_03920,608.8,7,9.9
City_03706,City_02961,49.0,8,0.9
City_03706,City_05737,2276.3,6,37.3
City_03706,City_03536,1649.3,5,31.1
City_03706,City_02057,181.9,7,3.1
City_02290,City_00881,2405.8,3,41.1
City_02290,City_05765,2181.2,9,37.9
City_02290,City_05794,2428.0,5,37.4
City_02290,City_04895,2366.9,10,40.5
City_02290,City_06821,922.6,6,17.2
City_02290,City_09645,656.9,9,10.7
City_02290,City_08521,1574.0,8,25.9
City_02290,City_02929,912.1,3,20.2
City_01147,City_02288,2362.2,1,47.1
City_01147,City_05592,86.0,9,1.3
City_01147,City_02915,2059.0,2,32.8
City_01147,City_06029,1773.2,4,33.7
City_01147,City_06505,1362.2,6,27.5
City_01147,City_06319,1841.6,8,35.1
City_01147,City_04153,1296.6,5,27.7
City_01147,City_03579,1477.5,5,24.3
City_01147,City_01475,2421.4,8,51.2
City_01147,City_05458,1216.1,10,19.1
City_01147,City_01618,1000.6,5,19.3
City_08782,City_00286,1439.1,2,23.1
City_08782,City_00684,1797.6,6,31.8
City_08782,City_05320,983.7,6,21.7
City_08782,City_01081,2404.2,9,37.4
City_08782,City_05345,1646.4,1,34.4
City_08782,City_03393,1273.6,10,20.2
City_08782,City_03169,2048.4,7,34.5
City_08782,City_05304,1704.6,6,33.4
City_08782,City_07578,392.7,4,6.1
City_08782,City_02924,1910.3,7,30.2
City_08782,City_03766,857.2,5,18.0
City_08782,City_01517,191.4,8,3.3
City_05293,City_09234,907.7,10,18.1
City_05293,City_07735,2138.3,7,37.1
City_05293,City_09625,1864.9,1,29.1
City_05293,City_03913,689.0,10,15.1
City_05293,City_07665,1669.2,9,26.2
City_05293,City_01868,1645.0,5,32.0
City_05293,City_02478,1035.0,9,21.9
City_05293,City_08821,1881.0,7,32.3
City_05293,City_00991,662.2,8,14.5
City_05293,City_08353,1499.8,4,28.1
City_05293,City_00572,435.2,8,8.5
City_05293,City_09804,1610.7,8,34.9
City_06449,City_03452,508.6,7,11.2
City_06449,City_03424,2422.6,3,46.4
City_06449,City_03126,831.0,6,16.1
City_06449,City_05654,983.4,4,16.9
City_06449,City_07872,1312.6,2,26.9
City_06449,City_05877,2181.9,2,40.4
City_06449,City_01220,1381.7,3,21.3
City_06449,City_01339,2308.0,9,50.7
City_06449,City_04776,1629.3,10,31.4
City_03930,City_05055,614.6,2,11.2
City_03930,City_00515,1682.7,5,28.7
City_03930,City_03830,2137.6,2,40.5
City_03930,City_05745,1948.8,8,34.0
City_03930,City_08168,738.5,6,12.2
City_03930,City_03522,1219.2,5,21.7
City_03930,City_07839,1152.0,9,24.4
City_03930,City_06145,1715.5,4,30.0
City_03930,City_02563,1395.3,4,23.2
City_03930,City_03690,1506.2,10,25.2
City_03930,City_04236,1674.2,10,29.1
City_03930,City_08453,1890.0,2,41.5
City_04102,City_03988,2412.8,9,50.0
City_04102,City_00753,2182.5,10,40.8
City_04102,City_02630,1526.7,6,28.4
City_04102,City_07188,1874.6,2,39.3
City_04102,City_03854,1540.6,1,25.4
City_04102,City_06172,2165.8,7,42.7
City_04102,City_09644,1934.0,5,32.6
City_04102,City_00839,2191.5,8,41.7
City_04102,City_05699,2338.0,8,41.7
City_01028,City_06732,798.9,6,15.2
City_01028,City_07371,1126.2,6,17.9
City_01028,City_07905,701.7,9,14.0
City_01028,City_06412,408.1,6,8.8
City_01028,City_02713,2426.2,2,41.8
City_01028,City_05642,1143.7,5,22.9
City_01028,City_03187,1763.0,10,31.1
City_01028,City_01239,2365.8,3,45.4
City_01028,City_04056,853.9,1,13.6
City_01028,City_09221,2333.8,10,37.2
City_01028,City_02566,234.6,9,4.4
City_01028,City_03265,1537.3,1,32.1
City_06674,City_08318,1774.4,6,30.8
City_06674,City_08336,1937.3,2,38.7
City_06674,City_03717,1435.0,9,24.5
City_06674,City_00700,2374.0,3,46.1
City_06674,City_06896,847.4,6,17.7
City_06674,City_05729,1387.0,4,28.5
City_06674,City_01705,437.6,9,7.3
City_06674,City_00804,1334.2,6,21.6
City_06674,City_06765,2214.9,2,39.7
City_05688,City_09497,1866.2,2,30.0
City_05688,City_03498,1884.9,10,31.0
City_05688,City_01268,1339.8,9,29.3
City_05688,City_08379,2466.6,6,50.6
City_05688,City_08631,1430.8,4,23.4
City_05688,City_06032,1078.8,1,17.4
City_05688,City_00802,1699.4,6,34.8
City_05688,City_03585,2068.8,7,37.8
City_05688,City_02563,631.1,1,10.6
City_07749,City_01335,1468.2,9,29.7
City_07749,City_01356,2149.8,1,43.4
City_07749,City_05295,1553.2,9,30.6
City_07749,City_07075,1228.2,2,20.6
City_07749,City_05805,1223.5,8,22.5
City_07749,City_00583,124.1,7,2.2
City_07749,City_02478,1352.0,2,23.9
City_07749,City_03868,1308.0,2,21.9
City_07749,City_01257,856.0,6,18.9
City_07749,City_09737,1685.7,8,26.9
City_07749,City_07372,1420.8,10,26.2
City_07749,City_02146,2069.1,10,39.7
City_08575,City_07898,1395.0,8,27.4
City_08575,City_09481,1806.9,5,34.8
City_08575,City_06544,247.1,5,5.4
City_08575,City_07453,1312.8,7,23.1
City_08575,City_07562,1451.5,2,23.1
City_08575,City_01051,2359.2,4,42.7
City_08575,City_02753,565.0,7,10.4
City_08575,City_05330,1637.0,9,28.3
City_08575,City_07774,1205.1,4,25.5
City_08575,City_09689,1951.7,6,32.6
City_05967,City_00611,1889.0,6,35.5
City_05967,City_07222,1545.0,7,27.0
City_05967,City_04473,1068.0,10,16.9
City_05967,City_08364,1300.0,10,26.9
City_05967,City_03354,472.3,7,9.7
City_05967,City_06863,1478.9,7,29.9
City_05967,City_05279,1574.8,8,31.9
City_01154,City_09944,1327.2,5,20.8
City_01154,City_07898,2484.2,8,41.3
City_01154,City_09306,2383.0,4,40.7
City_01154,City_06269,1978.1,10,42.5
City_01154,City_05530,1652.6,1,32.1
City_01154,City_05485,1714.1,7,28.4
City_01154,City_04999,757.5,2,11.9
City_01154,City_00282,891.3,5,19.3
City_01154,City_03562,1743.6,4,34.1
City_03057,City_08778,1259.4,1,20.0
City_03057,City_03493,1354.0,7,24.5
City_03057,City_04848,1055.1,4,22.0
City_03057,City_07771,2443.9,10,40.3
City_03057,City_01687,2399.1,8,45.5
City_03057,City_06098,1301.7,9,27.9
City_03057,City_07255,1596.9,7,35.0
City_08001,City_09945,1292.4,6,21.1
City_08001,City_00317,1778.1,2,31.4
City_08001,City_05162,1609.5,8,26.5
City_08001,City_09649,584.5,3,10.0
City_08001,City_07979,806.5,3,12.9
City_08001,City_06763,961.2,7,16.0
City_08001,City_03187,623.6,8,12.5
City_08001,City_06133,766.0,4,14.1
City_08001,City_02348,2454.8,9,53.5
City_08001,City_06499,544.5,4,8.5
City_08001,City_01059,2258.3,9,34.8
City_08001,City_04187,993.0,4,19.6
City_03176,City_06305,739.9,4,14.3
City_03176,City_04134,1867.2,8,31.5
City_03176,City_09868,2469.3,7,41.2
City_03176,City_09538,2488.3,3,46.7
City_03176,City_01290,1558.2,2,33.0
City_03176,City_09955,1451.8,5,26.8
City_03176,City_03604,1796.0,3,39.5
City_05079,City_01268,1249.4,4,24.9
City_05079,City_03428,2443.9,9,44.7
City_05079,City_01594,901.0,4,15.1
City_05079,City_08643,1744.5,5,36.8
City_05079,City_00991,1877.4,6,29.5
City_05079,City_01491,1662.8,7,26.6
City_05079,City_07709,1369.2,8,21.7
City_02846,City_09149,1824.8,4,39.4
City_02846,City_01222,2362.3,2,39.0
City_02846,City_05289,1518.0,9,27.3
City_02846,City_02961,1789.2,10,36.9
City_02846,City_09568,1177.3,7,23.7
City_02846,City_00598,1104.2,1,24.4
City_02846,City_02882,1125.0,9,17.9
City_02846,City_01414,2376.3,5,48.0
City_02846,City_05688,1348.1,4,29.4
City_08228,City_08642,1530.5,5,27.4
City_08228,City_03453,1929.0,6,35.4
City_08228,City_00572,1376.4,2,25.9
City_08228,City_03947,1861.3,7,41.2
City_08228,City_08299,1567.5,9,24.4
City_08228,City_08312,1410.3,5,22.4
City_06399,City_03241,531.3,9,9.1
City_06399,City_09684,987.9,1,16.5
City_06399,City_06669,2129.8,3,42.1
City_06399,City_03126,1140.5,7,18.7
City_06399,City_05168,1629.3,3,29.0
City_06399,City_06348,794.4,3,14.8
City_06399,City_00729,1073.4,8,21.9
City_06399,City_08576,1940.6,7,42.5
City_06399,City_09218,2031.7,9,37.5
City_06399,City_03187,494.3,7,8.0
City_06399,City_03278,1555.9,2,31.0
City_03277,City_07370,1115.5,4,19.0
City_03277,City_09561,942.0,9,20.2
City_03277,City_08315,2295.4,8,36.3
City_03277,City_07114,2146.6,3,37.8
City_03277,City_00617,2497.8,4,45.1
City_03277,City_01753,1522.0,1,29.8
City_03277,City_00972,2297.8,1,39.6
City_03277,City_02527,1271.0,1,21.0
City_03277,City_07131,2190.6,9,36.1
City_05423,City_06054,695.8,4,13.8
City_05423,City_02929,1044.8,2,18.0
City_05423,City_01458,2298.7,7,45.3
City_05423,City_06419,1741.9,7,34.8
City_05423,City_01197,1714.9,3,28.8
City_05423,City_06323,1329.9,4,23.7
City_05423,City_07537,2129.2,7,38.0
City_05423,City_01532,493.6,2,10.1
City_08629,City_08225,2384.2,4,37.5
City_08629,City_03146,1910.0,8,32.9
City_08629,City_01443,1544.5,3,26.8
City_08629,City_04381,1646.4,9,35.0
City_08629,City_04696,582.5,2,11.1
City_08629,City_04327,686.9,4,11.8
City_08629,City_06858,2062.3,3,39.4
City_08629,City_02770,1150.1,9,20.6
City_03814,City_07255,1173.1,1,18.4
City_03814,City_01500,1809.1,2,36.9
City_03814,City_07279,1126.4,8,24.3
City_03814,City_00444,1141.8,1,19.7
City_03814,City_03277,775.6,4,14.1
City_03814,City_01872,1637.5,2,25.9
City_03814,City_06497,1386.2,8,23.0
City_03814,City_05955,716.5,8,13.5
City_03814,City_00247,743.4,3,13.5
City_03814,City_03081,833.4,5,14.6
City_03814,City_01909,723.7,1,13.3
City_03814,City_03791,677.8,7,10.7
City_05289,City_06597,1162.5,5,20.9
City_05289,City_09689,1669.6,2,37.0
City_05289,City_06354,912.1,1,18.3
City_05289,City_04738,1578.4,2,29.6
City_05289,City_09481,1267.2,9,27.3
City_05289,City_06124,904.9,9,16.4
City_05289,City_08260,916.1,4,17.0
City_05289,City_05325,2122.8,4,37.2
City_05289,City_08769,2080.2,9,40.3
City_05289,City_05320,1827.6,10,36.9
City_05289,City_09668,2005.0,1,33.1
City_05289,City_02786,2188.4,3,34.0
City_03810,City_01014,2436.8,3,40.1
City_03810,City_04451,1171.8,9,25.0
City_03810,City_04117,1959.0,7,34.7
City_03810,City_09672,1171.7,4,20.6
City_03810,City_09047,1077.3,4,17.5
City_03810,City_05587,2102.8,7,37.0
City_03810,City_01732,1934.4,3,38.8
City_03810,City_05737,2290.0,3,49.9
City_03810,City_07647,919.4,3,15.9
City_03810,City_06938,1392.7,9,26.1
City_03810,City_06992,1688.6,2,32.6
City_08272,City_06716,618.8,3,12.5
City_08272,City_09354,756.8,1,12.3
City_08272,City_03654,1271.9,7,23.1
City_08272,City_05357,978.0,1,21.1
